"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1679.7177
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",1494.1421
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1144.8648
"B019",30.0000
"B020",2000.0000
"B021",1963.3731
"B022",30.0000
"B023",1776.3863
"B024",2000.0000
"B025",1610.5678
"B026",1010.7988
"B027",2000.0000
"B028",1483.5579
"B029",2000.0000
"B030",0.0000
"B031",35.0000
"B032",0.0000
"B033",0.0000
"B034",0.0000
"B035",0.0000
"B036",0.0000
"B037",0.0000
"B038",0.0000
"B039",20.0000
