,B005,B006,B008
2024-09-07 00:30:00,122.75,59.93,63.2
2024-09-07 01:00:00,125.0,56.77,60.04
2024-09-07 01:30:00,121.97,54.16,58.73
2024-09-07 02:00:00,119.34,52.19,57.43
2024-09-07 02:30:00,120.11,50.37,56.68
2024-09-07 03:00:00,119.1,49.88,56.48
2024-09-07 03:30:00,117.16,49.32,55.82
2024-09-07 04:00:00,121.43,48.63,55.77
2024-09-07 04:30:00,117.24,49.09,55.52
2024-09-07 05:00:00,115.61,49.45,55.62
2024-09-07 05:30:00,110.02,51.0,57.03
2024-09-07 06:00:00,106.69,53.54,59.49
2024-09-07 06:30:00,90.63,55.12,59.39
2024-09-07 07:00:00,87.29,59.18,63.96
2024-09-07 07:30:00,104.98,65.67,68.37
2024-09-07 08:00:00,99.94,71.54,74.25
2024-09-07 08:30:00,102.03,77.8,83.38
2024-09-07 09:00:00,108.71,81.99,87.75
2024-09-07 09:30:00,107.85,85.58,91.62
2024-09-07 10:00:00,106.07,87.89,93.57
2024-09-07 10:30:00,121.9,86.34,95.13
2024-09-07 11:00:00,117.78,89.14,98.54
2024-09-07 11:30:00,120.5,90.0,100.0
2024-09-07 12:00:00,111.19,88.91,99.4
2024-09-07 12:30:00,93.65,88.15,98.59
2024-09-07 13:00:00,98.15,83.41,98.69
2024-09-07 13:30:00,107.77,85.88,95.58
2024-09-07 14:00:00,115.84,83.7,94.58
2024-09-07 14:30:00,114.99,82.05,94.18
2024-09-07 15:00:00,115.07,79.22,90.66
2024-09-07 15:30:00,118.72,77.47,90.66
2024-09-07 16:00:00,115.84,76.19,90.51
2024-09-07 16:30:00,117.32,74.6,87.4
2024-09-07 17:00:00,110.96,74.6,85.04
2024-09-07 17:30:00,99.86,74.37,84.24
2024-09-07 18:00:00,95.52,76.88,86.4
2024-09-07 18:30:00,78.83,81.3,92.22
2024-09-07 19:00:00,83.02,83.51,91.01
2024-09-07 19:30:00,93.96,82.71,90.76
2024-09-07 20:00:00,97.3,81.56,89.46
2024-09-07 20:30:00,96.68,79.55,86.4
2024-09-07 21:00:00,108.16,78.16,83.38
2024-09-07 21:30:00,109.87,76.32,82.78
2024-09-07 22:00:00,116.78,72.82,78.26
2024-09-07 22:30:00,116.93,69.26,73.39
2024-09-07 23:00:00,121.9,66.0,71.84
2024-09-07 23:30:00,119.03,62.08,67.02
2024-09-07 23:59:00,117.94,58.95,63.15
