,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2024-09-07 00:30:00,316.2,301.72,186.13,329.92,4.93,234.73,219.09,155.16,378.96,218.13,156.43,202.92,164.31,92.56,275.94,124.31,225.7,5.81,725.92
2024-09-07 01:00:00,322.0,317.9,201.77,313.41,4.49,220.89,207.52,158.0,399.29,236.46,148.6,184.8,154.62,87.68,281.0,130.98,244.66,5.52,661.1
2024-09-07 01:30:00,314.2,416.8,199.4,306.6,4.1,209.82,198.0,154.18,523.5,233.68,145.37,168.69,146.87,83.65,274.2,171.72,241.79,5.4,603.49
2024-09-07 02:00:00,307.41,459.37,203.95,299.78,3.99,203.01,190.77,150.84,576.97,239.01,142.14,164.26,142.11,80.6,268.27,189.26,247.3,5.28,587.65
2024-09-07 02:30:00,309.41,481.71,207.36,295.85,3.76,196.3,184.14,151.82,605.03,243.01,140.27,154.6,137.41,77.8,270.01,198.46,251.44,5.21,553.08
2024-09-07 03:00:00,306.81,246.36,201.39,294.8,3.64,195.02,182.34,150.55,309.43,236.02,139.78,149.77,136.52,77.04,267.74,101.5,244.2,5.2,535.8
2024-09-07 03:30:00,301.81,466.17,198.17,291.4,3.68,199.92,180.29,148.09,585.51,232.24,138.16,151.58,139.94,76.17,263.38,192.06,240.29,5.14,542.28
2024-09-07 04:00:00,312.81,335.71,204.23,291.14,3.56,191.3,177.76,153.49,421.65,239.35,138.04,146.35,133.91,75.1,272.98,138.31,247.65,5.13,523.55
2024-09-07 04:30:00,302.01,436.23,202.43,289.83,3.57,192.26,179.44,148.19,547.9,237.24,137.42,146.75,134.58,75.81,263.56,179.72,245.46,5.11,524.99
2024-09-07 05:00:00,297.82,377.95,203.57,290.35,3.57,193.53,180.77,146.13,474.71,238.57,137.67,146.75,135.47,76.37,259.89,155.72,246.84,5.12,524.99
2024-09-07 05:30:00,283.42,500.0,196.93,297.69,3.78,197.47,186.43,139.07,628.0,230.8,141.14,155.61,138.23,78.77,247.34,206.0,238.8,5.25,556.68
2024-09-07 06:00:00,274.83,385.89,194.94,310.53,3.95,199.6,195.71,134.85,484.67,228.46,147.23,162.65,139.72,82.69,239.84,158.98,236.38,5.47,581.89
2024-09-07 06:30:00,233.45,479.12,194.47,310.0,3.95,200.03,201.5,114.55,601.77,227.91,146.98,162.65,140.02,85.13,203.73,197.4,235.81,5.46,581.89
2024-09-07 07:00:00,224.86,302.85,197.98,333.85,4.32,199.71,216.32,110.34,380.38,232.02,158.29,177.55,139.8,91.39,196.23,124.77,240.06,5.88,635.18
2024-09-07 07:30:00,270.43,458.56,207.55,356.91,4.75,214.61,240.06,132.7,575.95,243.23,169.22,195.27,150.23,101.42,236.0,188.93,251.67,6.29,698.55
2024-09-07 08:00:00,257.44,336.19,214.56,387.57,5.15,226.96,261.51,126.32,422.26,251.45,183.76,211.77,158.87,110.49,224.66,138.51,260.17,6.83,757.6
2024-09-07 08:30:00,262.84,441.57,218.64,435.26,5.48,239.84,284.41,128.97,554.61,256.23,206.37,225.66,167.89,120.16,229.37,181.93,265.11,7.67,807.3
2024-09-07 09:00:00,280.03,466.17,221.39,458.06,5.9,250.59,299.72,137.4,585.51,259.45,217.18,242.77,175.41,126.63,244.37,192.06,268.45,8.07,868.51
2024-09-07 09:30:00,277.83,437.2,224.99,478.24,6.32,260.6,312.85,136.33,549.12,263.67,226.75,259.88,182.42,132.18,242.45,180.12,272.81,8.43,929.72
2024-09-07 10:00:00,273.23,320.82,230.01,488.46,6.31,264.96,321.29,134.07,402.94,269.56,231.6,259.68,185.47,135.74,238.44,132.18,278.9,8.61,929.0
2024-09-07 10:30:00,314.0,273.71,233.71,496.58,6.4,269.01,315.62,154.08,343.78,273.89,235.45,263.51,188.31,133.35,274.02,112.77,283.39,8.75,942.68
2024-09-07 11:00:00,303.41,110.23,231.24,514.4,6.47,279.87,325.87,148.88,138.45,271.0,243.9,266.33,195.91,137.68,264.78,45.41,280.4,9.07,952.77
2024-09-07 11:30:00,310.41,408.06,233.8,522.0,6.57,280.51,329.0,152.31,512.52,274.0,247.5,270.35,196.35,139.0,270.88,168.12,283.5,9.2,967.17
2024-09-07 12:00:00,286.42,336.84,229.72,518.86,6.58,282.1,325.02,140.54,423.07,269.22,246.01,270.55,197.47,137.32,249.95,138.78,278.56,9.14,967.89
2024-09-07 12:30:00,241.25,189.87,223.19,514.66,6.68,276.78,322.25,118.38,238.47,261.56,244.02,274.78,193.75,136.15,210.53,78.23,270.63,9.07,983.01
2024-09-07 13:00:00,252.84,300.74,218.73,515.19,6.71,279.33,304.9,124.07,377.74,256.34,244.27,275.99,195.53,128.82,220.65,123.91,265.23,9.08,987.33
2024-09-07 13:30:00,277.63,464.88,217.78,498.94,6.74,279.55,313.94,136.23,583.88,255.23,236.57,277.4,195.68,132.64,242.28,191.53,264.08,8.79,992.38
2024-09-07 14:00:00,298.41,268.86,214.85,493.7,6.57,274.54,305.98,146.43,337.68,251.79,234.08,270.15,192.18,129.28,260.42,110.77,260.52,8.7,966.45
2024-09-07 14:30:00,296.22,174.98,221.67,491.6,6.53,271.88,299.96,145.35,219.77,259.78,233.09,268.74,190.32,126.73,258.5,72.09,268.79,8.66,961.41
2024-09-07 15:00:00,296.42,235.19,211.91,473.26,6.27,266.45,289.59,145.45,295.4,248.34,224.39,257.87,186.52,122.35,258.67,96.9,256.95,8.34,922.52
2024-09-07 15:30:00,305.81,175.62,213.23,473.26,6.14,262.2,283.21,150.06,220.58,249.9,224.39,252.84,183.54,119.65,266.87,72.36,258.56,8.34,904.52
2024-09-07 16:00:00,298.41,311.91,205.84,472.47,6.14,265.18,278.51,146.43,391.76,241.24,224.02,252.84,185.62,117.67,260.42,128.51,249.6,8.33,904.52
2024-09-07 16:30:00,302.21,264.33,199.4,456.23,5.99,265.82,272.72,148.29,331.99,233.68,216.31,246.4,186.07,115.22,263.73,108.9,241.79,8.04,881.47
2024-09-07 17:00:00,285.82,382.65,201.2,443.91,6.01,264.32,272.72,140.25,480.61,235.79,210.47,247.4,185.03,115.22,249.43,157.65,243.97,7.82,885.07
2024-09-07 17:30:00,257.24,312.08,201.39,439.72,6.13,257.72,271.88,126.22,391.97,236.02,208.49,252.23,180.41,114.87,224.49,128.57,244.2,7.75,902.36
2024-09-07 18:00:00,246.05,355.78,197.79,450.98,6.43,266.88,281.04,120.73,446.86,231.79,213.83,264.72,186.82,118.74,214.72,146.58,239.83,7.95,947.01
2024-09-07 18:30:00,203.07,484.62,208.31,481.38,7.42,290.09,297.18,99.64,608.69,244.12,228.24,305.18,203.06,125.56,177.22,199.66,252.59,8.48,1091.76
2024-09-07 19:00:00,213.87,363.22,208.69,475.09,7.41,292.11,305.26,104.94,456.21,244.57,225.26,304.98,204.48,128.97,186.64,149.65,253.05,8.37,1091.04
2024-09-07 19:30:00,242.05,389.61,207.45,473.78,7.5,296.9,302.37,118.77,489.35,243.12,224.64,308.6,207.83,127.75,211.23,160.52,251.55,8.35,1104.0
2024-09-07 20:00:00,250.64,460.83,207.83,466.97,7.41,295.94,298.15,122.99,578.8,243.57,221.41,304.98,207.16,125.97,218.73,189.86,252.01,8.23,1091.04
2024-09-07 20:30:00,249.05,449.5,204.52,450.98,7.27,320.0,290.8,122.2,564.57,239.68,213.83,299.14,224.0,122.86,217.33,185.19,247.99,7.95,1070.15
2024-09-07 21:00:00,278.63,466.17,210.77,435.26,7.25,307.76,285.74,136.72,585.51,247.01,206.37,298.13,215.43,120.72,243.15,192.06,255.58,7.67,1066.55
2024-09-07 21:30:00,283.02,263.84,206.32,432.12,6.89,300.41,278.99,138.88,331.38,241.79,204.88,283.64,210.29,117.87,246.99,108.7,250.17,7.62,1014.7
2024-09-07 22:00:00,300.81,496.92,201.96,408.53,6.58,295.83,266.21,147.6,624.14,236.68,193.7,270.55,207.08,112.47,262.51,204.73,244.89,7.2,967.89
2024-09-07 22:30:00,301.21,310.94,196.37,383.11,6.36,286.25,253.2,147.8,390.54,230.13,181.65,261.49,200.38,106.97,262.86,128.11,238.11,6.75,935.48
2024-09-07 23:00:00,314.0,293.62,196.93,374.99,5.93,266.03,241.27,154.08,368.79,230.8,177.8,244.18,186.22,101.93,274.02,120.97,238.8,6.61,873.55
2024-09-07 23:30:00,306.61,425.7,192.48,349.83,5.55,255.7,226.93,150.45,534.68,225.58,165.87,228.48,178.99,95.87,267.57,175.39,233.4,6.17,817.38
2024-09-07 23:59:00,303.81,398.19,189.92,329.66,5.14,245.8,215.48,149.08,500.12,222.58,156.3,211.57,172.06,91.04,265.13,164.05,230.29,5.81,756.88
